window_start,avg_packet_size,unique_src_ips,unique_dst_ips,unique_src_ports,protocol_tcp,protocol_udp,protocol_icmp,protocol_other,packet_rate,port_scan_signals,tcp_flag_syn,tcp_flag_ack,tcp_flag_syn_without_ack,tcp_flag_syn_without_ack_ratio
1754938124.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938125.8000002,165.77777777777777,4,4,4,0.4444444444444444,0.4444444444444444,0,0.1111111111111111,9.0,4,2,3,0,0.0
1754938126.8000002,571.4375,3,3,2,0.9375,0,0,0.0625,16.0,2,0,15,0,0.0
1754938127.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938128.8000002,135.88888888888889,4,4,1,0,0.4444444444444444,0,0.5555555555555556,18.0,1,0,0,0,0
1754938129.8000002,42.0,2,2,0,0,0,0,1.0,2.0,0,0,0,0,0
1754938130.8000002,128.85714285714286,4,4,1,0,0.2857142857142857,0,0.7142857142857143,7.0,1,0,0,0,0
1754938131.8000002,42.0,3,3,0,0,0,0,1.0,4.0,0,0,0,0,0
1754938132.8000002,42.0,2,2,0,0,0,0,1.0,2.0,0,0,0,0,0
1754938133.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938134.8000002,76.8,3,3,2,0.8,0,0,0.2,5.0,2,0,4,0,0.0
1754938135.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938136.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938137.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938138.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938139.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938140.8000002,62.0,2,2,1,0,0.5,0,0.5,2.0,1,0,0,0,0
1754938141.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938142.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938143.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938144.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
1754938145.8000002,72.45454545454545,4,4,2,0.8181818181818182,0,0,0.18181818181818182,11.0,2,0,9,0,0.0
1754938146.8000002,64.0,2,2,0,0,0,0,1.0,2.0,0,0,0,0,0
1754938147.8000002,42.0,1,1,0,0,0,0,1.0,1.0,0,0,0,0,0
